Step,Living Noodles,Dead Noodles,Age,Health,Size,Speed,Sight,View,Rep,Loss,Gen,Ages,Gens,Ancestors
29000,15,55,5069.1875,141.8721874999998,9.8125,3.625,154.625,120.5,25.625,54.625,4.6875,"[14005, 14005, 13005, 11007, 5008, 5006, 5006, 4008, 4006, 3006, 1009, 1007, 1006, 9, 8, 6]","[3, 3, 3, 5, 6, 4, 4, 6, 4, 4, 7, 5, 4, 7, 6, 4]","[[([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 28], 1), ([10, 3, 151, 120, 28], 2), ([10, 3, 151, 120, 24], 3)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 23], 1), ([10, 4, 161, 120, 23], 2), ([10, 4, 161, 120, 23], 3)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 23], 1), ([10, 4, 161, 120, 23], 2), ([10, 4, 161, 120, 22], 3)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 28], 1), ([10, 4, 151, 113, 28], 2), ([10, 4, 151, 113, 33], 3), ([10, 4, 151, 113, 33], 4), ([10, 4, 151, 130, 33], 5), ([10, 4, 151, 128, 33], 6)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 23], 1), ([10, 4, 161, 120, 23], 2), ([10, 4, 161, 120, 22], 3), ([10, 4, 161, 127, 22], 4)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 28], 1), ([10, 3, 151, 120, 28], 2), ([10, 3, 151, 120, 24], 3), ([9, 3, 151, 120, 24], 4), ([9, 3, 151, 102, 24], 5), ([9, 3, 151, 102, 24], 6)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 23], 1), ([10, 4, 161, 120, 23], 2), ([10, 4, 161, 120, 22], 3), ([10, 4, 161, 131, 22], 4)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 23], 1), ([10, 4, 161, 120, 23], 2), ([10, 4, 161, 120, 22], 3), ([10, 4, 161, 120, 21], 4)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 28], 1), ([10, 4, 151, 113, 28], 2), ([10, 4, 151, 113, 33], 3), ([10, 4, 151, 113, 33], 4), ([10, 4, 151, 130, 33], 5), ([10, 4, 151, 128, 33], 6), ([10, 4, 151, 128, 30], 7)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 28], 1), ([10, 3, 151, 120, 28], 2), ([10, 3, 151, 120, 24], 3), ([9, 3, 151, 120, 24], 4), ([9, 3, 151, 120, 29], 5)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 23], 1), ([10, 4, 138, 120, 23], 2), ([10, 4, 138, 120, 27], 3), ([10, 4, 142, 120, 27], 4)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 28], 1), ([10, 3, 151, 120, 28], 2), ([10, 3, 151, 120, 24], 3), ([8, 3, 151, 120, 24], 4)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 28], 1), ([10, 3, 151, 120, 28], 2), ([10, 3, 151, 120, 24], 3), ([10, 3, 151, 120, 24], 4)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 23], 1), ([10, 4, 161, 120, 23], 2), ([10, 4, 161, 120, 23], 3), ([10, 4, 161, 120, 23], 4)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 23], 1), ([10, 4, 161, 120, 23], 2), ([10, 4, 161, 120, 22], 3), ([10, 4, 174, 120, 22], 4)]]"
30000,15,55,5139.666666666667,158.71366666666643,9.733333333333333,3.6666666666666665,155.93333333333334,121.06666666666666,24.66666666666667,53.86666666666667,4.333333333333333,"[15005, 15005, 14005, 6008, 6006, 5008, 5006, 4006, 2009, 2007, 2006, 1006, 6, 6, 6]","[3, 3, 3, 6, 4, 6, 4, 4, 7, 5, 4, 4, 4, 4, 4]",[]
31000,17,58,5124.235294117647,140.87941176470588,9.823529411764708,3.8235294117647056,157.35294117647058,122.23529411764706,24.294117647058826,56.0,4.588235294117646,"[16005, 16005, 15005, 7008, 7006, 6008, 6006, 5006, 3009, 3006, 2006, 1006, 10, 7, 7, 6, 6]","[3, 3, 3, 6, 4, 6, 4, 4, 7, 4, 4, 4, 8, 5, 5, 4, 4]",[]
32000,20,60,5106.7,146.09824999999995,9.75,3.8,158.9,122.1,23.8,55.225,4.7,"[17005, 17005, 16005, 8008, 8006, 7008, 7006, 6006, 4009, 4006, 3006, 2006, 1010, 1007, 1007, 7, 7, 7, 7, 6]","[3, 3, 3, 6, 4, 6, 4, 4, 7, 4, 4, 4, 8, 5, 5, 5, 5, 5, 5, 4]",[]
33000,16,66,5506.8125,149.26062500000003,9.625,3.875,158.4375,121.6875,24.0625,55.9375,4.8125,"[18005, 17005, 9008, 9006, 8008, 7006, 5009, 5006, 4006, 2007, 1007, 1007, 1007, 1007, 8, 7]","[3, 3, 6, 4, 6, 4, 7, 4, 4, 5, 5, 5, 5, 5, 6, 5]",[]
34000,17,67,5595.058823529412,145.74058823529444,9.705882352941176,3.941176470588236,159.94117647058823,123.76470588235294,23.882352941176467,56.941176470588225,4.823529411764706,"[19005, 18005, 10008, 10006, 8006, 6009, 6006, 5006, 3007, 2007, 2007, 2007, 2007, 1008, 1007, 8, 7]","[3, 3, 6, 4, 4, 7, 4, 4, 5, 5, 5, 5, 5, 6, 5, 6, 5]",[]
35000,14,71,6578.142857142857,151.25535714285724,9.785714285714286,4.071428571428571,158.85714285714286,123.5,24.07142857142857,58.75,4.714285714285714,"[20005, 19005, 11006, 9006, 7009, 7006, 6006, 4007, 3007, 2008, 2007, 1008, 1007, 7]","[3, 3, 4, 4, 7, 4, 4, 5, 5, 6, 5, 6, 5, 5]",[]
36000,16,72,6569.375,135.06718750000027,9.1875,4.0,160.5,124.25,23.4375,55.28125,4.875,"[21005, 20005, 12006, 10006, 8009, 8006, 7006, 5007, 4007, 3008, 3007, 2008, 2007, 9, 7, 7]","[3, 3, 4, 4, 7, 4, 4, 5, 5, 6, 5, 6, 5, 7, 5, 5]",[]
37000,21,74,5197.714285714285,130.33071428571458,9.0,4.0,159.66666666666666,125.4761904761905,23.714285714285715,54.83333333333334,5.238095238095238,"[22005, 21005, 13006, 9009, 9006, 8006, 6007, 5007, 4008, 4007, 3008, 3007, 1007, 1007, 10, 9, 9, 8, 8, 7, 6]","[3, 3, 4, 7, 4, 4, 5, 5, 6, 5, 6, 5, 5, 5, 8, 7, 7, 6, 6, 5, 4]",[]
38000,16,80,6069.875,136.38968750000018,8.75,3.9375,159.75,123.75,24.0625,53.75,5.375,"[23005, 14006, 10009, 10006, 9006, 7007, 5008, 5007, 4008, 4007, 2007, 1010, 1009, 1008, 1006, 9]","[3, 4, 7, 4, 4, 5, 6, 5, 6, 5, 5, 8, 7, 6, 4, 7]",[]
