Step,Living Noodles,Age,Health,Size,Speed,Sight,View,Rep,Loss
1950,4,1702.25,152.1163768042201,9.0,3.5,109.25,91.75,27.0,34.59807621135332
2000,5,1402.6,138.8358709588347,8.8,3.6,98.6,91.6,27.8,33.67846096908264
2050,5,1452.6,132.29064047429335,8.8,3.6,98.6,91.6,27.8,33.67846096908264
2100,5,1502.6,119.45140998975205,8.8,3.6,98.6,91.6,27.8,33.67846096908264
2150,5,1552.6,134.61217950521078,8.8,3.6,98.6,91.6,27.8,33.67846096908264
2200,5,1602.6,145.77294902066942,8.8,3.6,98.6,91.6,27.8,33.67846096908264
2250,5,1652.6,156.98026252348654,8.8,3.6,98.6,91.6,27.8,33.67846096908264
2300,5,1702.6,149.5519155013379,8.8,3.6,98.6,91.6,27.8,33.67846096908264
2350,5,1752.6,146.8196846467003,8.8,3.6,98.6,91.6,27.8,33.67846096908264
2400,5,1802.6,149.1029694414393,8.8,3.6,98.6,91.6,27.8,33.67846096908264
2450,5,1852.6,141.6648464670045,8.8,3.6,98.6,91.6,27.8,33.67846096908264
2500,5,1902.6,133.82862315948282,8.8,3.6,98.6,91.6,27.8,33.67846096908264
2550,5,1952.6,128.70265408813972,8.8,3.6,98.6,91.6,27.8,33.67846096908264
2600,5,2002.6,134.9078310026758,8.8,3.6,98.6,91.6,27.8,33.67846096908264
2650,5,2052.6,129.7617849797867,8.8,3.6,98.6,91.6,27.8,33.67846096908264
2700,5,2102.6,123.09481553834739,8.8,3.6,98.6,91.6,27.8,33.67846096908264
2750,5,2152.6,117.72320784319277,8.8,3.6,98.6,91.6,27.8,33.67846096908264
2800,5,2202.6,122.48023085463731,8.8,3.6,98.6,91.6,27.8,33.67846096908264
2850,5,2252.6,118.007761598246,8.8,3.6,98.6,91.6,27.8,33.67846096908264
2900,5,2302.6,122.62642323350198,8.8,3.6,98.6,91.6,27.8,33.67846096908264
2950,5,2352.6,117.66923877184976,8.8,3.6,98.6,91.6,27.8,33.67846096908264
3000,7,1717.142857142857,113.851593467598,9.0,3.571428571428572,105.42857142857143,94.85714285714286,27.285714285714285,34.6554938954457
3050,7,1767.142857142857,111.2542420591992,9.0,3.571428571428572,105.42857142857143,94.85714285714286,27.285714285714285,34.6554938954457
3100,7,1817.142857142857,116.91217060419235,9.0,3.571428571428572,105.42857142857143,94.85714285714286,27.285714285714285,34.6554938954457
3150,7,1867.142857142857,110.14087405544136,9.0,3.571428571428572,105.42857142857143,94.85714285714286,27.285714285714285,34.6554938954457
